molregno,withdrawn_flag,pref_name,chembl_id,chirality,black_box_warning,polymer_flag,canonical_smiles,level5,level1_description,level2_description,level3_description,level4_description,who_name,warning_type,warning_class,warning_description,warning_country,warning_year
556,0,ISOSORBIDE DINITRATE,CHEMBL6622,1,0,0,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],"('C01DA08', 'C01DA58', 'C05AE02')","('CARDIOVASCULAR SYSTEM', 'CARDIOVASCULAR SYSTEM', 'CARDIOVASCULAR SYSTEM')","('CARDIAC THERAPY', 'CARDIAC THERAPY', 'VASOPROTECTIVES')","('VASODILATORS USED IN CARDIAC DISEASES', 'VASODILATORS USED IN CARDIAC DISEASES', 'AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE')","('Organic nitrates', 'Organic nitrates', 'Muscle relaxants')","('isosorbide dinitrate', 'isosorbide dinitrate, combinations', 'isosorbide dinitrate')",,,,,
573,0,MIANSERIN,CHEMBL6437,0,0,0,CN1CCN2c3ccccc3Cc3ccccc3C2C1,"('N06AX03',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Other antidepressants',)","('mianserin',)",,,,,
605,0,IMIPRAMINE,CHEMBL11,2,1,0,CN(C)CCCN1c2ccccc2CCc2ccccc21,"('N06AA02',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Non-selective monoamine reuptake inhibitors',)","('imipramine',)",,,,,
619,0,INDAPAMIDE,CHEMBL406,0,0,0,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,"('C03BA11',)","('CARDIOVASCULAR SYSTEM',)","('DIURETICS',)","('LOW-CEILING DIURETICS, EXCL. THIAZIDES',)","('Sulfonamides, plain',)","('indapamide',)",,,,,
635,0,FLUMAZENIL,CHEMBL407,2,1,0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,"('V03AB25',)","('VARIOUS',)","('ALL OTHER THERAPEUTIC PRODUCTS',)","('ALL OTHER THERAPEUTIC PRODUCTS',)","('Antidotes',)","('flumazenil',)",Black Box Warning,"('Neurotoxicity',)",,United States,
666,1,TROGLITAZONE,CHEMBL408,0,0,0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,"('A10BG01',)","('ALIMENTARY TRACT AND METABOLISM',)","('DRUGS USED IN DIABETES',)","('BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS',)","('Thiazolidinediones',)","('troglitazone',)",Withdrawn,"('Hepatotoxicity',)",Hepatotoxicity,United States,1997.0
717,0,BICALUTAMIDE,CHEMBL409,0,0,0,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,"('L02BB03',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ENDOCRINE THERAPY',)","('HORMONE ANTAGONISTS AND RELATED AGENTS',)","('Anti-androgens',)","('bicalutamide',)",,,,,
721,0,DIAZEPAM,CHEMBL12,2,1,0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,"('N05BA01',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANXIOLYTICS',)","('Benzodiazepine derivatives',)","('diazepam',)",Black Box Warning,"(None,)",,United States,
789,0,METOPROLOL,CHEMBL13,0,1,0,COCCc1ccc(OCC(O)CNC(C)C)cc1,"('C07AB02',)","('CARDIOVASCULAR SYSTEM',)","('BETA BLOCKING AGENTS',)","('BETA BLOCKING AGENTS',)","('Beta blocking agents, selective',)","('metoprolol',)",,,,,
860,1,DIETHYLSTILBESTROL,CHEMBL411,2,0,0,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,"('G03CB02', 'G03CC05', 'L02AA01')","('GENITO URINARY SYSTEM AND SEX HORMONES', 'GENITO URINARY SYSTEM AND SEX HORMONES', 'ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS')","('SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM', 'SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM', 'ENDOCRINE THERAPY')","('ESTROGENS', 'ESTROGENS', 'HORMONES AND RELATED AGENTS')","('Synthetic estrogens, plain', 'Estrogens, combinations with other drugs', 'Estrogens')","('diethylstilbestrol', 'diethylstilbestrol', 'diethylstilbestrol')",Withdrawn,"(None,)",,United States,
880,0,MECAMYLAMINE,CHEMBL267936,0,0,0,CNC1(C)C2CCC(C2)C1(C)C,"('C02BB01',)","('CARDIOVASCULAR SYSTEM',)","('ANTIHYPERTENSIVES',)","('ANTIADRENERGIC AGENTS, GANGLION-BLOCKING',)","('Secondary and tertiary amines',)","('mecamylamine',)",,,,,
892,0,CARBACHOL,CHEMBL14,2,0,0,C[N+](C)(C)CCOC(N)=O.[Cl-],"('N07AB01', 'S01EB02')","('NERVOUS SYSTEM', 'SENSORY ORGANS')","('OTHER NERVOUS SYSTEM DRUGS', 'OPHTHALMOLOGICALS')","('PARASYMPATHOMIMETICS', 'ANTIGLAUCOMA PREPARATIONS AND MIOTICS')","('Choline esters', 'Parasympathomimetics')","('carbachol', 'carbachol')",,,,,
921,0,PHENYTOIN,CHEMBL16,2,0,0,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,"('N03AB02', 'N03AB52')","('NERVOUS SYSTEM', 'NERVOUS SYSTEM')","('ANTIEPILEPTICS', 'ANTIEPILEPTICS')","('ANTIEPILEPTICS', 'ANTIEPILEPTICS')","('Hydantoin derivatives', 'Hydantoin derivatives')","('phenytoin', 'phenytoin, combinations')",,,,,
923,0,SIROLIMUS,CHEMBL413,1,1,0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,"('L04AA10', 'S01XA23')","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS', 'SENSORY ORGANS')","('IMMUNOSUPPRESSANTS', 'OPHTHALMOLOGICALS')","('IMMUNOSUPPRESSANTS', 'OTHER OPHTHALMOLOGICALS')","('Selective immunosuppressants', 'Other ophthalmologicals')","('sirolimus', 'sirolimus')",Black Box Warning,"('Carcinogenicity', 'Immune system toxicity', 'Infections')",,United States,
996,0,CLOMIPRAMINE,CHEMBL415,2,1,0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,"('N06AA04',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Non-selective monoamine reuptake inhibitors',)","('clomipramine',)",,,,,
1063,0,METHOXSALEN,CHEMBL416,2,1,0,COc1c2occc2cc2ccc(=O)oc12,"('D05AD02', 'D05BA02')","('DERMATOLOGICALS', 'DERMATOLOGICALS')","('ANTIPSORIATICS', 'ANTIPSORIATICS')","('ANTIPSORIATICS FOR TOPICAL USE', 'ANTIPSORIATICS FOR SYSTEMIC USE')","('Psoralens for topical use', 'Psoralens for systemic use')","('methoxsalen', 'methoxsalen')",Black Box Warning,"('Carcinogenicity',)",,United States,
1085,0,DICHLORPHENAMIDE,CHEMBL17,2,0,0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,"('S01EC02',)","('SENSORY ORGANS',)","('OPHTHALMOLOGICALS',)","('ANTIGLAUCOMA PREPARATIONS AND MIOTICS',)","('Carbonic anhydrase inhibitors',)","('diclofenamide',)",,,,,
1114,0,EPIRUBICIN,CHEMBL417,1,1,0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,"('L01DB03',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ANTINEOPLASTIC AGENTS',)","('CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES',)","('Anthracyclines and related substances',)","('epirubicin',)",,,,,
1124,0,METHAZOLAMIDE,CHEMBL19,2,0,0,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,"('S01EC05',)","('SENSORY ORGANS',)","('OPHTHALMOLOGICALS',)","('ANTIGLAUCOMA PREPARATIONS AND MIOTICS',)","('Carbonic anhydrase inhibitors',)","('methazolamide',)",,,,,
1125,0,ACETAZOLAMIDE,CHEMBL20,2,0,0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,"('S01EC01',)","('SENSORY ORGANS',)","('OPHTHALMOLOGICALS',)","('ANTIGLAUCOMA PREPARATIONS AND MIOTICS',)","('Carbonic anhydrase inhibitors',)","('acetazolamide',)",,,,,
1148,0,MAFENIDE,CHEMBL419,2,0,0,NCc1ccc(S(N)(=O)=O)cc1,"('D06BA03',)","('DERMATOLOGICALS',)","('ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE',)","('CHEMOTHERAPEUTICS FOR TOPICAL USE',)","('Sulfonamides',)","('mafenide',)",,,,,
1159,0,SULFANILAMIDE,CHEMBL21,2,0,0,Nc1ccc(S(N)(=O)=O)cc1,"('D06BA05', 'J01EB06')","('DERMATOLOGICALS', 'ANTIINFECTIVES FOR SYSTEMIC USE')","('ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE', 'ANTIBACTERIALS FOR SYSTEMIC USE')","('CHEMOTHERAPEUTICS FOR TOPICAL USE', 'SULFONAMIDES AND TRIMETHOPRIM')","('Sulfonamides', 'Short-acting sulfonamides')","('sulfanilamide', 'sulfanilamide')",,,,,
1216,0,TRIMETHOPRIM,CHEMBL22,2,0,0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,"('J01EA01',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('SULFONAMIDES AND TRIMETHOPRIM',)","('Trimethoprim and derivatives',)","('trimethoprim',)",,,,,
1219,0,VERAPAMIL,CHEMBL6966,0,0,0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"('C08DA01', 'C08DA51')","('CARDIOVASCULAR SYSTEM', 'CARDIOVASCULAR SYSTEM')","('CALCIUM CHANNEL BLOCKERS', 'CALCIUM CHANNEL BLOCKERS')","('SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS', 'SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS')","('Phenylalkylamine derivatives', 'Phenylalkylamine derivatives')","('verapamil', 'verapamil, combinations')",,,,,
1223,0,SULFASALAZINE,CHEMBL421,2,0,0,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,"('A07EC01',)","('ALIMENTARY TRACT AND METABOLISM',)","('ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS',)","('INTESTINAL ANTIINFLAMMATORY AGENTS',)","('Aminosalicylic acid and similar agents',)","('sulfasalazine',)",,,,,
1278,0,DILTIAZEM,CHEMBL23,1,0,0,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,"('C05AE03', 'C08DB01')","('CARDIOVASCULAR SYSTEM', 'CARDIOVASCULAR SYSTEM')","('VASOPROTECTIVES', 'CALCIUM CHANNEL BLOCKERS')","('AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE', 'SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS')","('Muscle relaxants', 'Benzothiazepine derivatives')","('diltiazem', 'diltiazem')",,,,,
1279,0,ATENOLOL,CHEMBL24,0,1,0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"('C07AB03',)","('CARDIOVASCULAR SYSTEM',)","('BETA BLOCKING AGENTS',)","('BETA BLOCKING AGENTS',)","('Beta blocking agents, selective',)","('atenolol',)",Black Box Warning,"('Cardiotoxicity',)",,United States,
1280,0,ASPIRIN,CHEMBL25,2,0,0,CC(=O)Oc1ccccc1C(=O)O,"('A01AD05', 'B01AC06', 'N02BA01', 'N02BA51', 'N02BA71')","('ALIMENTARY TRACT AND METABOLISM', 'BLOOD AND BLOOD FORMING ORGANS', 'NERVOUS SYSTEM', 'NERVOUS SYSTEM', 'NERVOUS SYSTEM')","('STOMATOLOGICAL PREPARATIONS', 'ANTITHROMBOTIC AGENTS', 'ANALGESICS', 'ANALGESICS', 'ANALGESICS')","('STOMATOLOGICAL PREPARATIONS', 'ANTITHROMBOTIC AGENTS', 'OTHER ANALGESICS AND ANTIPYRETICS', 'OTHER ANALGESICS AND ANTIPYRETICS', 'OTHER ANALGESICS AND ANTIPYRETICS')","('Other agents for local oral treatment', 'Platelet aggregation inhibitors excl. heparin', 'Salicylic acid and derivatives', 'Salicylic acid and derivatives', 'Salicylic acid and derivatives')","('acetylsalicylic acid', 'acetylsalicylic acid', 'acetylsalicylic acid', 'acetylsalicylic acid, combinations excl. psycholeptics', 'acetylsalicylic acid, combinations with psycholeptics')",,,,,
1325,0,TRIFLUOPERAZINE,CHEMBL422,2,1,0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,"('N05AB06',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Phenothiazines with piperazine structure',)","('trifluoperazine',)",,,,,
1333,0,SULPIRIDE,CHEMBL26,0,0,0,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,"('N05AL01',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Benzamides',)","('sulpiride',)",,,,,
1354,0,BETAXOLOL,CHEMBL423,0,0,0,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,"('C07AB05', 'S01ED02', 'S01ED52')","('CARDIOVASCULAR SYSTEM', 'SENSORY ORGANS', 'SENSORY ORGANS')","('BETA BLOCKING AGENTS', 'OPHTHALMOLOGICALS', 'OPHTHALMOLOGICALS')","('BETA BLOCKING AGENTS', 'ANTIGLAUCOMA PREPARATIONS AND MIOTICS', 'ANTIGLAUCOMA PREPARATIONS AND MIOTICS')","('Beta blocking agents, selective', 'Beta blocking agents', 'Beta blocking agents')","('betaxolol', 'betaxolol', 'betaxolol, combinations')",,,,,
1362,0,SALICYLIC ACID,CHEMBL424,2,0,0,O=C(O)c1ccccc1O,"('D01AE12', 'S01BC08')","('DERMATOLOGICALS', 'SENSORY ORGANS')","('ANTIFUNGALS FOR DERMATOLOGICAL USE', 'OPHTHALMOLOGICALS')","('ANTIFUNGALS FOR TOPICAL USE', 'ANTIINFLAMMATORY AGENTS')","('Other antifungals for topical use', 'Antiinflammatory agents, non-steroids')","('salicylic acid', 'salicylic acid')",,,,,
1369,0,OLSALAZINE,CHEMBL425,2,0,0,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,"('A07EC03',)","('ALIMENTARY TRACT AND METABOLISM',)","('ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS',)","('INTESTINAL ANTIINFLAMMATORY AGENTS',)","('Aminosalicylic acid and similar agents',)","('olsalazine',)",,,,,
1370,0,PROPRANOLOL,CHEMBL27,0,1,0,CC(C)NCC(O)COc1cccc2ccccc12,"('C07AA05',)","('CARDIOVASCULAR SYSTEM',)","('BETA BLOCKING AGENTS',)","('BETA BLOCKING AGENTS',)","('Beta blocking agents, non-selective',)","('propranolol',)",,,,,
1380,0,PRACTOLOL,CHEMBL6995,0,0,0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,"('C07AB01',)","('CARDIOVASCULAR SYSTEM',)","('BETA BLOCKING AGENTS',)","('BETA BLOCKING AGENTS',)","('Beta blocking agents, selective',)","('practolol',)",,,,,
1470,0,MECHLORETHAMINE,CHEMBL427,2,1,0,CN(CCCl)CCCl,"('L01AA05',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ANTINEOPLASTIC AGENTS',)","('ALKYLATING AGENTS',)","('Nitrogen mustard analogues',)","('chlormethine',)",,,,,
1615,0,BENZYLPENICILLIN,CHEMBL29,1,1,0,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,"('J01CE01', 'S01AA14')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('BETA-LACTAM ANTIBACTERIALS, PENICILLINS', 'ANTIINFECTIVES')","('Beta-lactamase sensitive penicillins', 'Antibiotics')","('benzylpenicillin', 'benzylpenicillin')",,,,,
1616,0,TROVAFLOXACIN,CHEMBL428,1,0,0,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,"('J01MA13',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('QUINOLONE ANTIBACTERIALS',)","('Fluoroquinolones',)","('trovafloxacin',)",,,,,
1620,0,CIMETIDINE,CHEMBL30,2,0,0,CN/C(=N/CCSCc1nc[nH]c1C)NC#N,"('A02BA01', 'A02BA51')","('ALIMENTARY TRACT AND METABOLISM', 'ALIMENTARY TRACT AND METABOLISM')","('DRUGS FOR ACID RELATED DISORDERS', 'DRUGS FOR ACID RELATED DISORDERS')","('DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)', 'DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)')","('H2-receptor antagonists', 'H2-receptor antagonists')","('cimetidine', 'cimetidine, combinations')",,,,,
1712,1,GATIFLOXACIN,CHEMBL31,0,0,0,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,"('J01MA16', 'S01AE06')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('QUINOLONE ANTIBACTERIALS', 'ANTIINFECTIVES')","('Fluoroquinolones', 'Fluoroquinolones')","('gatifloxacin', 'gatifloxacin')",Withdrawn,"('Gastrotoxicity',)",Increased risk of dysglycemia,United States,2006.0
1785,0,LABETALOL,CHEMBL429,0,0,0,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,"('C07AG01',)","('CARDIOVASCULAR SYSTEM',)","('BETA BLOCKING AGENTS',)","('BETA BLOCKING AGENTS',)","('Alpha and beta blocking agents',)","('labetalol',)",,,,,
1788,0,MOXIFLOXACIN,CHEMBL32,1,1,0,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,"('J01MA14', 'S01AE07')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('QUINOLONE ANTIBACTERIALS', 'ANTIINFECTIVES')","('Fluoroquinolones', 'Fluoroquinolones')","('moxifloxacin', 'moxifloxacin')",,,,,
1795,0,LEVOFLOXACIN,CHEMBL33,1,1,0,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,"('J01MA12', 'S01AE05')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('QUINOLONE ANTIBACTERIALS', 'ANTIINFECTIVES')","('Fluoroquinolones', 'Fluoroquinolones')","('levofloxacin', 'levofloxacin')",Black Box Warning,"('Neurotoxicity', 'Musculoskeletal toxicity')",,United States,
1853,0,GEMIFLOXACIN,CHEMBL430,0,1,0,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,"('J01MA15',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('QUINOLONE ANTIBACTERIALS',)","('Fluoroquinolones',)","('gemifloxacin',)",,,,,
1967,0,SPIRAPRIL,CHEMBL431,1,0,0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,"('C09AA11',)","('CARDIOVASCULAR SYSTEM',)","('AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM',)","('ACE INHIBITORS, PLAIN',)","('ACE inhibitors, plain',)","('spirapril',)",,,,,
