molID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,train,train,test,test,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,test,test,train,train,train,train,train,train,test,train,train,test,train,test,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train
11,train,test,train,train,test,train,train,train,test,train,train,test,train,train,train,test,train,test,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,test,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,test,train,test,test,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train
12,test,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
13,train,train,train,test,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,test,train,test,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,test,test,train,train,test,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train
14,train,train,train,test,train,train,train,train,train,train,test,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,test,train,test,train,train,test,test,train,test,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,test,train,train,train
15,train,train,train,train,train,test,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,test,train,test,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test
16,train,test,train,train,train,train,train,train,train,train,train,test,test,train,test,train,train,test,test,train,test,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,test,train,train,train
17,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,test,train,train,train,test,train,test,test,test,test,test,train,train,train,test,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,test,train,test,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test
18,train,train,train,test,test,test,train,train,train,train,train,test,test,test,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,test,train,test,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,test,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,test,test,train,train,test,train,train,train,train,train,test,test,test,train,train,train
19,train,train,train,train,train,train,test,train,train,train,test,train,test,train,test,train,train,train,train,train,train,train,train,train,test,train,test,train,test,test,test,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,test,test,test,test,train,train,train,test,train,test,train,train,train,test,train,train,train,test,train,train,train,train,test,train,train,test,train,train,test,train,test,train,train,train,train,train,train,test,train
20,test,train,test,train,test,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,train,test,train,train,train,train,test,train,test,train,test,train,train,test,train,train,train,train,train,test,train,train,test,test,train,test,test,train,train,train,train,train,train,train,train,test,train,train,train,train,test,test,train,train,test,test,train,train,train,test,train
21,train,test,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,test,test,test,test,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train
22,train,test,test,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,test,test,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,test,test,train,test,train,train,train,test,test,test,test,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,test,test
23,train,train,train,train,test,train,train,train,train,test,train,train,train,train,test,train,test,test,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,test,test,train,train,train,train,test,train,train,test,train,test,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,test,train,test,train,train,train,train,test,train,train,test,train,train,train,test,train,train,test,train,test,train,test,train
24,test,train,train,train,test,train,test,train,test,train,train,train,train,test,train,train,test,test,train,train,train,train,train,test,train,train,test,train,train,train,train,test,train,train,train,train,test,test,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,test,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
25,test,test,train,train,train,train,test,test,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,test,test,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,test,train,train,train,train,train,train,train,test,train,train,test,train,train,test,train,test,test,train,train,train
26,test,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,test,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,test,train,train,test,train,train,train,train,train,train,train,train,train,train,test,test,test,train,train,test,train,train,train,train,train,train,test,train
27,train,train,train,test,test,train,train,train,test,train,train,train,train,test,test,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,test,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,test,train,train,train,train,test,test,train,train,test,train,train,train,train,train
28,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,test,train,train,test,train,train,train,test,train,test,train,test,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train
29,train,test,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,test,train,train,test,train,train,train,train,train,test,train,train,train,test,train,train,test,train,test,train,test,test,test,train,train,test,train,train,test,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train
30,train,test,train,train,test,train,test,train,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,test,test,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test
31,train,train,train,train,test,test,test,test,test,test,train,test,train,train,test,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,test,test,test,test,train,test,train,train,train,train,train,train,test,test,train,test,train,train,train,train,train,train,test,train,test,train,train,train,test,train,train,test,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train
32,train,train,train,train,train,test,train,train,train,train,train,test,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,test,train,train,test,train,train,train,test,train,train,test,test,train,train,train,test,train
33,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,test,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,test,train,test,train,train,test,train,train,train,train,train,train,train,test,train,test,train,train,test,train,train,test,train,train,train,train,train,train,train,train,test,train,test,test,test
34,test,test,train,test,test,train,train,train,train,train,test,test,train,test,train,test,train,train,train,test,train,train,train,train,train,test,train,test,test,train,train,train,train,train,train,test,train,train,train,train,test,test,train,train,train,train,train,train,test,train,train,test,train,train,train,train,test,train,train,train,test,train,train,test,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,test,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
35,test,train,test,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,test,train,train,test,test,train,train,train,train,train,test,train,train,test,train,test,train,train,train,test,test,train,train,test,train,train,train,train,test,train,train,train,train,train,train
36,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,train,test,test,train,train,train,test,train,train,train,test,train,test,test,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,test,train,test,train,test,train,test,train,train,train,train,train,train,test,test,train,test,train,train,train
37,train,train,train,test,train,train,train,test,train,test,train,test,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,test,test,test,train,train,train,train,test,train,train,train,test,train,test,train,train,test,train,test,test,test,train,train,train,test,train,train,train,test,train,test,test,test,train,train,train,train,train,train,train,train,train,test,train
38,test,train,test,train,train,test,test,train,train,train,train,test,train,test,test,train,train,train,train,train,train,test,train,train,train,train,train,test,test,train,test,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,test,train,test,train,train,train,test,train,test,train,train,train,train,train,test,test,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train
39,train,train,train,train,train,train,test,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,test,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,test,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,test,train,test,test
40,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,test,train,test,train,train,train,train,train,test,train,test,train,train,train,test,train,train,train,train,train,train,test,train,test,train,test,train,test,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
41,train,train,train,train,train,train,test,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,test,train,test,train,train,train,train,train,train,train,train,train,train,test,test,test,test,train,test,train,train,train,train,train,train,train,train,test,test,test,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,test,test,train,test,train,test
42,train,train,test,test,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,test,test,train,train,train,test,train,test,train,train,train,test,train,train,train,test,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,test,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,test,train,train,train,test,train,train,test,train,train,train,train,train,train,test
43,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,train,train,test,train,train,test,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,test,test,test,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,test,train,train,train,test,train
44,test,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,test,train,test,train,train,train,train,train,train,train,test,test,train,test,train,train,train,train,train,train,test,test,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,test,test,train,train,test,train
45,train,train,train,test,train,train,train,test,test,train,test,test,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,test,test,train,test,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,test,test,train,train,train,train,test,train,train,train,train,train,train,train
46,train,train,train,test,test,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,test,test,train,train,test,train,test,train,test,train,train,test,train,test,train,train,train,test,train,train,test,test,train,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,test,test,test,test,train,test,train,train,train,train,train,train,train,train,train,train,test,train,test,train
47,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,test,train,test,train,train,train,train,test,train,test,train,test,train,train,test,train,train,test,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,test,train,train,train
48,test,test,test,test,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,test,train,test,train,train,train,test,train,train,test,train,train,train,train,train,test,train,train,train,train,test,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,test,train
49,train,train,test,train,train,train,test,test,train,train,train,test,test,train,train,train,test,train,train,test,train,train,test,train,train,train,test,train,train,train,test,train,train,test,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,test,test,train,test,train,train,train,train,train,train,train,test,test,test,train,test,train,train,train,train
50,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,test,train,test,train,train,train,test,train,train,train,train,train,train,train,test,train,train,test,train,test,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
51,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,test,test,train,train,train,train,train,train,train,test,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train
52,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,test,train,test,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,test,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train
53,train,train,test,train,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,test,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,test,test,train,train,train,test,train,train,test,train,train,train,train
54,train,train,test,train,train,train,train,train,train,train,train,test,train,train,test,train,test,train,train,train,train,test,test,train,test,test,train,test,train,train,train,train,test,train,train,train,train,train,test,test,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,test,train,train,test,train,test,test,train,train,train,test,train,train,train,test,train,train
55,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,test,train,train,train,train,train,train,test,train,train,test,train,test,train,test,test,train,test,train,train,test,train,train,train,test,train,train,test,train,test,train,train,train,train,train,test,train,train,train,test,test,test,test,train,train
56,train,train,test,train,train,train,train,train,train,train,test,test,test,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,test,test,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,test,train,test,test,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train
57,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,test,test,test,test,train,train,train,train,test,train,train,train,test,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,test
58,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train,test,train,test,train,train,test,train,train,train,train,test,train,test,train,train,train,test,train,train,test,train,test,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,test,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,test,train,test,train,test,train,test,test,train,train,train,train,train,train,train
59,train,train,train,train,test,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,test,test,train,train,test,train,train,train,train,test,train,test,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train
60,train,test,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,test,train,test,train,train,test,test,train,train,train,test,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,test,train,test,train,train,test,train,train,train,train,train,train,test,test,train,train,train
61,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,test,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,test,test,train,train,train,train,train,train,test,test,train,train,train,test,train,train,train,train,train,train,train,train,test,test,test,train,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test
62,train,train,test,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,train,test,train,train,train,train,test,train,test,train,train,test,train,train,train,train,test,train
63,test,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,test,train,test,train,test,train,train,train,test,test,test,train,test,train,train,train,train,test,test,train,train,train,train,test,train,train,train,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
64,train,test,train,train,train,train,train,train,test,train,train,train,test,train,train,test,train,train,test,test,train,train,test,train,train,train,train,train,test,train,train,train,test,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train
65,train,train,train,train,train,train,train,train,train,test,train,test,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,test,test,test,train,test,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,test,train,test,train,train,test,train,train,train,train,train,test,train,train,train,test,train,train,test,test,test,train,train,test,train,train,train,train,train,train
66,train,train,train,test,train,train,test,train,train,train,train,train,train,train,train,train,test,train,test,train,test,train,train,test,train,train,test,test,train,train,train,test,train,test,train,train,train,train,test,train,test,train,train,train,train,test,test,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,test,train,train,train,test,train,train,train
