MedProduct,ActiveSub,firstPediatricDate,Orphan,TherapeuticArea,ATC,MainCondition,MinimumApprovedAge,PediatricTherapeuticIndications,elabSMILES,prediction
Edurant,rilpivirine hydrochloride,2015,no,Infectious diseases,J- Antiinfectives, HIV Infections,> 12 years,"EDURANT, in combination with other antiretroviral medicinal products, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in antiretroviral treatment-naïve patients 12 years of age and older with a viral load ≤ 100,000 HIV-1 RNA copies/ml. As with other antiretroviral medicinal products, genotypic resistance testing should guide the use of EDURANT.",Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,1
ellaOne,ulipristal,2009,no,Genito urinary system and sex hormones,G- Genitourinary,"Contraception, Postcoital",adolescent,"ulipristal acetate for emergency contraception is suitable for any woman of child bearing age, including adolescents",CC(=O)C1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C,1
Forxiga,dapagliflozin propanediol monohydrate,2019,no,"Endocrinology, -gynacology-fertility-metabolism",A- Alimentary/Metabolism,nd,>10,Forxiga is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise - as monotherapy when metformin is considered inappropriate due to intolerance. - in addition to other medicinal products for the treatment of type 2 diabetes,CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,1
Fycompa,perampanel,2012,no,Neurology,N- Neuropsychiatric,"Epilepsies, Partial",> 4 years,Fycompa (perampanel) is indicated for the adjunctive treatment of - partial-onset seizures (POS) with or without secondarily generalised seizures in patients from 4 years of age and older. - primary generalised tonic-clonic (PGTC) seizures in patients from 7 years of age and older with idiopathic generalised epilepsy (IGE),N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,1
Galafold,migalastat hydrochloride,2016,yes,Alimentary tract and metabolism,A- Alimentary/Metabolism,Fabry Disease,> 16 years,Galafold is indicated for long-term treatment of adults and adolescents aged 16 years and older with a confirmed diagnosis of Fabry disease (α-galactosidase A deficiency) and who have an amenable mutation,OCC1NCC(O)C(O)C1O,1
Genvoya,"elvitegravir, cobicistat, emtricitabine, tenofovir alafenamide",2015,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 12 years at least 35 kg > 6 years at least 25 kg,"Genvoya is indicated for the treatment of human immunodeficiency virus-1 (HIV-1) infection without any known mutations associated with resistance to the integrase inhibitor class, emtricitabine or tenofovir as follows: • In adults and adolescents aged from 12 years and with body weight at least 35 kg • In children aged from 6 years and with body weight at least 25 kg for whom alternative regimens are unsuitable due to toxicities.",CC(C)OC(=O)C(C)NP(=O)(COC(C)Cn1cnc2c(N)ncnc21)Oc1ccccc1,1
Gilenya,fingolimod hydrochloride ,2018,no,Immunology,L- Antineoplastic and immunomodulating,Multiple Sclerosis,> 10 years,"Gilenya is indicated as single disease modifying therapy in highly active relapsing remitting multiple sclerosis for the following groups of adult patients and paediatric patients aged 10 years and older: - Patients with highly active disease despite a full and adequate course of treatment with at least one disease modifying therapy (for exceptions and information about washout periods see sections 4.4 and 5.1). or - Patients with rapidly evolving severe relapsing remitting multiple sclerosis defined by 2 or more disabling relapses in one year, and with 1 or more Gadolinium enhancing lesions on brain MRI or a significant increase in T2 lesion load as compared to a previous recent MRI.",CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,1
Inovelon,Rufinamide,2007,yes,Neurology,N- Neuropsychiatric,Epilepsy,> 1 year,Inovelon is indicated as adjunctive therapy in the treatment of seizures associated with Lennox-Gastaut syndrome in patients 1 year of age and older.,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1
Intelence,Etravirine,2012,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 2 years,"INTELENCE, in combination with a boosted protease inhibitor and other antiretroviral medicinal products, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in antiretroviral treatment-experienced adult patients and in antiretroviral treatment-experienced paediatric patients from 2 years of age",Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,1
Invega,paliperidone,2014,no,Neurology,N- Neuropsychiatric,Schizophrenia,> 15 years,Invega is indicated for the treatment of schizophrenia in adults and in adolescents 15 years and older,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,1
Isentress,Raltegravir,2012,no,Infectious diseases,J- Antiinfectives,HIV Infections,all ages,"ISENTRESS 600 mg film-coated tablets is indicated in combination with other anti-retroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infection in adults, and paediatric patients weighing at least 40 kg",Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,1
Ivemend,fosaprepitant,2018,no,ALIMentary,A- Alimentary/Metabolism,Cancer Vomiting,> 6 months,Prevention of nausea and vomiting associated with highly and moderately emetogenic cancer chemotherapy in adults and paediatric patients aged 6 months and older,CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1
Januvia,sitagliptin,2020,no,alimentary and metabolism,A- Alimentary/Metabolism,nd,nd,_PIP negative outcome,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,1
Kaletra,"lopinavir, ritonavir",2017,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 14 days,"Kaletra (oral solution) is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infected adults, adolescents and children aged from 14 days and older. Kaletra (tablets) is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infected adults, adolescents and children above the age of 2 years. ",CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1
Kigabeq,vigabatrin,2018,no,Neurology,N- Neuropsychiatric,"Spasms, Infantile Epilepsies, Partial",1 month to 7 years,"Kigabeq is indicated in infants and children from 1 month to less than 7 years of age for: - Treatment in monotherapy of infantile spasms (West's syndrome). - Treatment in combination with other antiepileptic medicinal products for patients with resistant partial epilepsy (focal onset seizures) with or without secondary generalisation, that is where all other appropriate medicinal product combinations have proved inadequate or have not been tolerated.",C=CC(N)CCC(=O)O,1
Kuvan,Sapropterin dihydrochloride,2008,yes,Alimentary tract and metabolism,A- Alimentary/Metabolism,Phenylketonurias, all ages,Kuvan is indicated for the treatment of hyperphenylalaninaemia (HPA) in adults and paediatric patients of all ages with phenylketonuria (PKU) who have been shown to be responsive to such treatment. Kuvan is also indicated for the treatment of hyperphenylalaninaemia (HPA) in adults and paediatric patients of all ages with tetrahydrobiopterin (BH4) deficiency who have been shown to be responsive to such treatment.,CC(O)C(O)C1CNc2[nH]c(N)nc(=O)c2N1,1
Latuda,lurasidone,2020,no,Psychiatry ,N- Neuropsychiatric,Schizophrenia,> 13 years ,Latuda is indicated for the treatment of schizophrenia in adults and adolescent aged 13 years and over.,Oc1c2c(c(O)n1CC1CCCCC1CN1CCN(c3nsc4ccccc34)CC1)C1CCC2C1,1
Mimpara,cinacalcet hydrochloride,2017,no,Endocrinology,H- Systemic Hormones ,Hyperparathyroidism,> 3 years,"Secondary hyperparathyroidism Paediatric population Treatment of secondary hyperparathyroidism (HPT) in children aged 3 years and older with end-stage renal disease (ESRD) on maintenance dialysis therapy in whom secondary HPT is not adequately controlled with standard of care therapy  Mimpara may be used as part of a therapeutic regimen including phosphate binders and/or Vitamin D sterols, as appropriate  ",CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,1
Modigraf,tacrolimus,2014,no,Immunology-Rheumatology-Transplantation,L- Antineoplastic and immunomodulating,Graft Rejection,paediatric patients,"Prophylaxis of transplant rejection in adult and paediatric, kidney, liver or heart allograft recipients. Treatment of allograft rejection resistant to treatment with other  immunosupressive medicinal products in adult and paediatric patients. ",C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,1
Mozobil,Plerixafor,2019,yes,Oncology,L- Antineoplastic and immunomodulating,Multiple Myeloma Hematopoietic Stem Cell Transplantation Lymphoma,> 1 year,"Paediatric patients (1 to less than 18 years): Mozobil is indicated in combination with G-CSF to enhance mobilisation of haematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in children with lymphoma or solid malignant tumours, either: - pre-emptively, when circulating stem cell count on the predicted day of collection after adequate mobilization with G-CSF (with or without chemotherapy) is expected to be insufficient with regards to desired hematopoietic stem cells yield, or - who previously failed to collect sufficient haematopoietic stem cells ",c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,1
Orfadin,nitisinone,2015,yes,"Endocrinology, -gynacology-fertility-metabolism",A- Alimentary/Metabolism,Tyrosinemias,"all ages, dosage for weight",Treatment of adult and paediatric (in any age range) patients with confirmed diagnosis of hereditary tyrosinemia type 1 (HT 1) in combination with dietary restriction of tyrosine and phenylalanine.,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],1
Orkambi,"Lumacaftor, ivacaftor",2015,no,Respiratory ,R- Respiratory,Cystic Fibrosis,> 2 years,Orkambi tablesis indicated for the treatment of cystic fibrosis (CF) in patients aged 6 years and older who are homozygous for the F508del mutation in the CFTR gene. Orkambi granules are indicated for the treatment of cystic fibrosis (CF) in children aged 2 years and older who are homozygous for the F508del mutation in the CFTR gene,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,0
Orphacol,cholic acid,2013,yes,Gastroentology-Hepatology,A- Alimentary/Metabolism,"Digestive System Diseases Metabolism, Inborn Errors",> 1 month,"Orphacol is indicated for the treatment of inborn errors in primary bile acid synthesis due to 3β-Hydroxy-Δ5-C27-steroid oxidoreductase deficiency or Δ4-3-Oxosteroid-5β-reductase deficiency in infants, children and adolescents aged 1 month to 18 years and adults.",CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,1
Pifeltro,Doravirine,2019,no,Infectious diseases,J- Antiinfectives,nd,>12,"Pifeltro is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults, and adolescents aged 12 years and older weighing at least 35 kg infected with HIV-1 without past or present evidence of resistance to the NNRTI class ",Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,1
Plavix,Clopidogrel,2011,no,Cardiovascular disease,C- Cardiovascular,nd,nd,_PIP negative outcome,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,1
Pradaxa,Dabigatran etexilate mesilate,2011,no,Cardiovascular disease,C- Cardiovascular,nd,nd,Treatment of VTE and prevention of recurrent VTE in paediatric patients,CCCCCCOC(=O)N=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,1
Prezista,darunavir,2009,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 3 years,"Oral solution: PREZISTA, co-administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infection in adult and paediatric patients from the age of 3 years and at least 15 kg body weight. PREZISTA, co-administered with cobicistat is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infection in adults and adolescents (aged 12 years and older, weighing at least 40 kg). film-coated tablets 75-150-600: PREZISTA, co-administered with low dose ritonavir is indicated in combination with other antiretroviral medicinal products for the treatment of patients with human immunodeficiency virus (HIV-1) infection. PREZISTA 75 mg, 150 mg, and 600 mg tablets may be used to provide suitable dose regimens:  For the treatment of HIV-1 infection in antiretroviral treatment (ART)-experienced adult patients, including those that have been highly pre-treated.  For the treatment of HIV-1 infection in paediatric patients from the age of 3 years and at least 15 kg body weight. film-coated tablets 400-800: PREZISTA, co-administered with cobicistat is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infection in adults and adolescents (aged 12 years and older, weighing at least 40 kg). PREZISTA 400 mg and 800 mg tablets may be used to provide suitable dose regimens for the treatment of HIV-1 infection in adult and paediatric patients from the age of 3 years and at least 40 kg body weight who are:  antiretroviral therapy (ART)-naïve.  ART-experienced with no darunavir resistance associated mutations (DRV-RAMs) and who have plasma HIV-1 RNA < 100,000 copies/ml and CD4+ cell count ≥ 100 cells x 106 /L. In deciding to initiate treatment with PREZISTA in such ART-experienced patients, genotypic testing should guide the use of PREZISTA",CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,1
Procoralan,ivabradine,2015,no,Cardiovascular disease,C- Cardiovascular,nd,nd,_PIP negative outcome,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CC1Cc3cc(OC)c(OC)cc31)CC2,1
Ravicti,glycerol phenylbutyrate,2015,yes,Alimentary tract and metabolism,A- Alimentary/Metabolism,"Urea Cycle Disorders, Inborn",all ages,"RAVICTI is indicated for use as adjunctive therapy for chronic management of patients with urea cycle disorders (UCDs) including deficiencies of carbamoyl phosphate synthetase I (CPS), ornithine carbamoyltransferase (OTC), argininosuccinate synthetase (ASS), argininosuccinate lyase (ASL), arginase I (ARG) and ornithine translocase deficiency hyperornithinaemia-hyperammonaemia homocitrullinuria syndrome (HHH) in all ages patients who cannot be managed by dietary protein restriction and/or amino acid supplementation alone. RAVICTI must be used with dietary protein restriction and, in some cases, dietary supplements (e.g., essential amino acids, arginine, citrulline, protein-free calorie supplements).",O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,1
Relvar Ellipta,"fluticasone furoate, vilanterol",2013,no,Respiratory ,R- Respiratory,Pulmonary Disease,> 12 years,Asthma Relvar Ellipta is indicated for the regular treatment of asthma in adults and adolescents aged 12 years and older where use of a combination medicinal product (long-acting beta2-agonist and inhaled corticosteroid) is appropriate: • patients not adequately controlled with inhaled corticosteroids and 'as needed' inhaled short acting beta2-agonists. • patients already adequately controlled on both inhaled corticosteroid and long-acting beta2-agonist.,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,1
Resolor,Prucalopride succinate,2015,no,Alimentary,A- Alimentary/Metabolism,nd,nd,_PIP negative outcome,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,1
Revatio,sildenafil,2011,yes,Genito urinary system and sex hormones,G- Genitourinary,"Hypertension, Pulmonary",> 1 year,Paediatric population: Treatment of paediatric patients aged 1 year to 17 years old with pulmonary arterial hypertension. Efficacy in terms of improvement of exercise capacity or pulmonary haemodynamics has been shown in primary pulmonary hypertension and pulmonary hypertension associated with congenital heart disease,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,1
Revolade,Eltrombopag,2016,yes,Haematology,B - Blood and blood forming organs,"Purpura, Thrombocytopenic, Idiopathic",> 1 year,"Revolade is indicated for the treatment of patients aged 1 year and above with primary immune thrombocytopenia (ITP) lasting 6 months or longer from diagnosis and who are refractory to other treatments (e.g. corticosteroids, immunoglobulins).",Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C,1
Reyataz,atazanavir sulfate,2016,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 6 years (capsules) > 3 months (oral powder),"REYATAZ capsules, co-administered with low dose ritonavir, are indicated for the treatment of HIV1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products. REYATAZ oral powder, co-administered with low dose ritonavir, is indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1 infected paediatric patients at least 3 months of age and weighing at least 5 kg. Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (≥ 4 PI mutations). The choice of REYATAZ in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history. ",COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,1
Rinvoq,Upadacitinib,2019,no,Immunology-Rheumatology-Transplantation,L- Antineoplastic and immunomodulating,nd,>12,RINVOQ is indicated for the treatment of moderate to severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy.,CCC1CN(C(=O)NCC(F)(F)F)CC1c1cnc2cnc3[nH]ccc3n12,1
Rozlytrek,Entrectinib,2020,no,Oncology,L- Antineoplastic and immunomodulating,"Cancer Carcinoma, Non-Small-Cell Lung",> 12 years,"Rozlytrek as monotherapy is indicated for the treatment of adult and paediatric patients 12 years of age and older with solid tumours expressing a neurotrophic tyrosine receptor kinase (NTRK) gene fusion, • who have a disease that is locally advanced, metastatic or where surgical resection is likely to result in severe morbidity, and • who have not received a prior NTRK inhibitor • who have no satisfactory treatment options. Rozlytrek as monotherapy is indicated for the treatment of adult patients with ROS1-positive, advanced non-small cell lung cancer (NSCLC) not previously treated with ROS1 inhibitors.",CN1CCN(c2ccc(C(=O)Nc3[nH]nc4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,1
Sirturo,bedaquiline fumarate,2019,yes,Infectious diseases,J- Antiinfectives,"Tuberculosis, Multidrug-Resistant",> 12 years  weighing at least 30 kg,SIRTURO is indicated for use as part of an appropriate combination regimen for pulmonary multidrug-resistant tuberculosis (MDR-TB) in adults and adolescent patients (12 years to less than 18 years of age and weighing at least 30 kg) when an effective treatment regimen cannot otherwise be composed for reasons of resistance or tolerability,COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,0
Sivextro,tedizolid phosphate,2020,no,Infectious diseases,J- Antiinfectives,"Soft Tissue Infections Skin Diseases, Bacterial",> 12 years,Sivextro is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) in adults and adolescents 12 years of age and older.,Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1,1
Slenyto,melatonin,2018,no,Neurology,N- Neuropsychiatric,Sleep Initiation and Maintenance Disorders Autistic Disorder,> 2 years,"Slenyto is indicated for the treatment of insomnia in children and adolescents aged 2-18 with Autism Spectrum Disorder (ASD) and / or Smith-Magenis syndrome, where sleep hygiene measures have been insufficient. ",COc1ccc2[nH]cc(CCNC(C)=O)c2c1,1
Sovaldi,Sofosbuvir,2017,no,Infectious diseases,J- Antiinfectives,"Hepatitis C, Chronic",> 3 years,Sovaldi is indicated in combination with other medicinal products for the treatment of chronic hepatitis C (CHC) in adults and paediatric patients aged 3 years and above,CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(C)(F)C1O)Oc1ccccc1,1
Sprycel,dasatinib,2018,yes,Oncology,L- Antineoplastic and immunomodulating,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive Precursor Cell ",> 1 year,SPRYCEL is indicated for the treatment of paediatric patients with: film-coated tablets  - newly diagnosed Ph+ CML in chronic phase (Ph+ CML-CP) or Ph+ CML-CP resistant or intolerant to prior therapy including imatinib.  - newly diagnosed Ph+ ALL in combination with chemotherapy.   powder for oral suspension  - newly diagnosed Philadelphia chromosome-positive chronic myelogenous leukaemia in chronic phase (Ph+ CML-CP) or Ph+ CML-CP resistant or intolerant to prior therapy including imatinib. - newly diagnosed Ph+ acute lymphoblastic leukaemia (ALL) in combination with chemotherapy. ,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
